repo https://github.com/CBIIT/c3dc-model
commit 47c7da1
node	property	value_or_TYPE
consent_group	consent_group_id	STRING
consent_group	consent_group_name	STRING
consent_group	consent_group_number	STRING
consent_group	consent_group_suffix	STRING
consent_group	id	STRING
diagnosis	age_at_diagnosis	INTEGER
diagnosis	anatomic_site	C00.0 : External upper lip
diagnosis	anatomic_site	C00.1 : External lower lip
diagnosis	anatomic_site	C00.2 : External lip, NOS
diagnosis	anatomic_site	C00.3 : Mucosa of upper lip
diagnosis	anatomic_site	C00.4 : Mucosa of lower lip
diagnosis	anatomic_site	C00.5 : Mucosa of lip, NOS
diagnosis	anatomic_site	C00.6 : Commissure of lip
diagnosis	anatomic_site	C00.8 : Overlapping lesion of lip
diagnosis	anatomic_site	C00.9 : Lip, NOS
diagnosis	anatomic_site	C01.9 : Base of tongue, NOS
diagnosis	anatomic_site	C02.0 : Dorsal surface of tongue, NOS
diagnosis	anatomic_site	C02.1 : Border of tongue
diagnosis	anatomic_site	C02.2 : Ventral surface of tongue, NOS
diagnosis	anatomic_site	C02.3 : Anterior 2/3 of tongue, NOS
diagnosis	anatomic_site	C02.4 : Lingual tonsil
diagnosis	anatomic_site	C02.8 : Overlapping lesion of tongue
diagnosis	anatomic_site	C02.9 : Tongue, NOS
diagnosis	anatomic_site	C03.0 : Upper gum
diagnosis	anatomic_site	C03.1 : Lower gum
diagnosis	anatomic_site	C03.9 : Gum, NOS
diagnosis	anatomic_site	C04.0 : Anterior floor of mouth
diagnosis	anatomic_site	C04.1 : Lateral floor of mouth
diagnosis	anatomic_site	C04.8 : Overlapping lesion of floor of mouth
diagnosis	anatomic_site	C04.9 : Floor of mouth, NOS
diagnosis	anatomic_site	C05.0 : Hard palate
diagnosis	anatomic_site	C05.1 : Soft palate, NOS
diagnosis	anatomic_site	C05.2 : Uvula
diagnosis	anatomic_site	C05.8 : Overlapping lesion of palate
diagnosis	anatomic_site	C05.9 : Palate, NOS
diagnosis	anatomic_site	C06.0 : Buccal mucosa
diagnosis	anatomic_site	C06.0 : Cheek mucosa
diagnosis	anatomic_site	C06.1 : Vestibule of mouth
diagnosis	anatomic_site	C06.2 : Retromolar area
diagnosis	anatomic_site	C06.8 : Overlapping lesion of other and unspecified parts of mouth
diagnosis	anatomic_site	C06.9 : Mouth, NOS
diagnosis	anatomic_site	C07.9 : Parotid gland
diagnosis	anatomic_site	C08.0 : Submandibular gland
diagnosis	anatomic_site	C08.1 : Sublingual gland
diagnosis	anatomic_site	C08.8 : Overlapping lesion of major salivary glands
diagnosis	anatomic_site	C08.9 : Major salivary gland, NOS
diagnosis	anatomic_site	C08.9 : Salivary gland, NOS
diagnosis	anatomic_site	C09.0 : Tonsillar fossa
diagnosis	anatomic_site	C09.1 : Tonsillar pillar
diagnosis	anatomic_site	C09.8 : Overlapping lesion of tonsil
diagnosis	anatomic_site	C09.9 : Tonsil, NOS
diagnosis	anatomic_site	C10.0 : Vallecula
diagnosis	anatomic_site	C10.1 : Anterior surface of epiglottis
diagnosis	anatomic_site	C10.2 : Lateral wall of oropharynx
diagnosis	anatomic_site	C10.3 : Posterior wall of oropharynx
diagnosis	anatomic_site	C10.4 : Branchial cleft
diagnosis	anatomic_site	C10.8 : Overlapping lesions of oropharynx
diagnosis	anatomic_site	C10.9 : Oropharynx, NOS
diagnosis	anatomic_site	C11.0 : Superior wall of nasopharynx
diagnosis	anatomic_site	C11.1 : Posterior wall of nasopharynx
diagnosis	anatomic_site	C11.2 : Lateral wall of nasopharynx
diagnosis	anatomic_site	C11.3 : Anterior wall of nasopharynx
diagnosis	anatomic_site	C11.8 : Overlapping lesion of nasopharynx
diagnosis	anatomic_site	C11.9 : Nasopharynx, NOS
diagnosis	anatomic_site	C12.9 : Pyriform sinus
diagnosis	anatomic_site	C13.0 : Postcricoid region
diagnosis	anatomic_site	C13.1 : Hypopharyngeal aspect of aryepiglottic fold
diagnosis	anatomic_site	C13.2 : Posterior wall of hypopharynx
diagnosis	anatomic_site	C13.8 : Overlapping lesion of hypopharynx
diagnosis	anatomic_site	C13.9 : Hypopharynx, NOS
diagnosis	anatomic_site	C14.0 : Pharynx, NOS
diagnosis	anatomic_site	C14.2 : Waldeyer ring
diagnosis	anatomic_site	C14.8 : Overlapping lesion of lip, oral cavity and pharynx
diagnosis	anatomic_site	C15.0 : Cervical esophagus
diagnosis	anatomic_site	C15.1 : Thoracic esophagus
diagnosis	anatomic_site	C15.2 : Abdominal esophagus
diagnosis	anatomic_site	C15.3 : Upper third of esophagus
diagnosis	anatomic_site	C15.4 : Middle third of esophagus
diagnosis	anatomic_site	C15.5 : Lower third of esophagus
diagnosis	anatomic_site	C15.8 : Overlapping lesion of esophagus
diagnosis	anatomic_site	C15.9 : Esophagus, NOS
diagnosis	anatomic_site	C16.0 : Cardia, NOS
diagnosis	anatomic_site	C16.1 : Fundus of stomach
diagnosis	anatomic_site	C16.2 : Body of stomach
diagnosis	anatomic_site	C16.3 : Gastric antrum
diagnosis	anatomic_site	C16.4 : Pylorus
diagnosis	anatomic_site	C16.5 : Lesser curvature of stomach, NOS
diagnosis	anatomic_site	C16.6 : Greater curvature of stomach, NOS
diagnosis	anatomic_site	C16.8 : Overlapping lesion of stomach
diagnosis	anatomic_site	C16.9 : Stomach, NOS
diagnosis	anatomic_site	C17.0 : Duodenum
diagnosis	anatomic_site	C17.1 : Jejunum
diagnosis	anatomic_site	C17.2 : Ileum
diagnosis	anatomic_site	C17.3 : Meckel diverticulum
diagnosis	anatomic_site	C17.8 : Overlapping lesion of small intestine
diagnosis	anatomic_site	C17.9 : Small intestine, NOS
diagnosis	anatomic_site	C18.0 : Cecum
diagnosis	anatomic_site	C18.1 : Appendix
diagnosis	anatomic_site	C18.2 : Ascending colon
diagnosis	anatomic_site	C18.3 : Hepatic flexure of colon
diagnosis	anatomic_site	C18.4 : Transverse colon
diagnosis	anatomic_site	C18.5 : Splenic flexure of colon
diagnosis	anatomic_site	C18.6 : Descending colon
diagnosis	anatomic_site	C18.7 : Sigmoid colon
diagnosis	anatomic_site	C18.8 : Overlapping lesion of colon
diagnosis	anatomic_site	C18.9 : Colon, NOS
diagnosis	anatomic_site	C19.9 : Rectosigmoid junction
diagnosis	anatomic_site	C20.9 : Rectum, NOS
diagnosis	anatomic_site	C21.0 : Anus, NOS
diagnosis	anatomic_site	C21.1 : Anal canal
diagnosis	anatomic_site	C21.2 : Cloacogenic zone
diagnosis	anatomic_site	C21.8 : Overlapping lesion of rectum, anus and anal canal
diagnosis	anatomic_site	C22 : LIVER AND INTRAHEPATIC BILE DUCTS
diagnosis	anatomic_site	C22.0 : Liver
diagnosis	anatomic_site	C22.1 : Intrahepatic bile duct
diagnosis	anatomic_site	C23.9 : Gallbladder
diagnosis	anatomic_site	C24.0 : Extrahepatic bile duct
diagnosis	anatomic_site	C24.1 : Ampulla of Vater
diagnosis	anatomic_site	C24.8 : Overlapping lesion of biliary tract
diagnosis	anatomic_site	C24.9 : Biliary tract, NOS
diagnosis	anatomic_site	C25.0 : Head of pancreas
diagnosis	anatomic_site	C25.1 : Body of pancreas
diagnosis	anatomic_site	C25.2 : Tail of pancreas
diagnosis	anatomic_site	C25.3 : Pancreatic duct
diagnosis	anatomic_site	C25.4 : Islets of Langerhans
diagnosis	anatomic_site	C25.7 : Other specified parts of pancreas
diagnosis	anatomic_site	C25.8 : Overlapping lesion of pancreas
diagnosis	anatomic_site	C25.9 : Pancreas, NOS
diagnosis	anatomic_site	C26.0 : Intestinal tract, NOS
diagnosis	anatomic_site	C26.8 : Overlapping lesion of digestive system
diagnosis	anatomic_site	C26.9 : Gastrointestinal tract, NOS
diagnosis	anatomic_site	C30 : NASAL CAVITY AND MIDDLE EAR
diagnosis	anatomic_site	C30.0 : Nasal cavity
diagnosis	anatomic_site	C30.1 : Middle ear
diagnosis	anatomic_site	C31.0 : Maxillary sinus
diagnosis	anatomic_site	C31.1 : Ethmoid sinus
diagnosis	anatomic_site	C31.2 : Frontal sinus
diagnosis	anatomic_site	C31.3 : Sphenoid sinus
diagnosis	anatomic_site	C31.8 : Overlapping lesion of accessory sinuses
diagnosis	anatomic_site	C31.9 : Accessory sinus, NOS
diagnosis	anatomic_site	C32.0 : Glottis
diagnosis	anatomic_site	C32.0 : Laryngeal commissure
diagnosis	anatomic_site	C32.1 : Supraglottis
diagnosis	anatomic_site	C32.2 : Subglottis
diagnosis	anatomic_site	C32.3 : Laryngeal cartilage
diagnosis	anatomic_site	C32.8 : Overlapping lesion of larynx
diagnosis	anatomic_site	C32.9 : Larynx, NOS
diagnosis	anatomic_site	C33.9 : Trachea
diagnosis	anatomic_site	C34.0 : Main bronchus
diagnosis	anatomic_site	C34.1 : Upper lobe, lung
diagnosis	anatomic_site	C34.2 : Middle lobe, lung
diagnosis	anatomic_site	C34.3 : Lower lobe, lung
diagnosis	anatomic_site	C34.8 : Overlapping lesion of lung
diagnosis	anatomic_site	C34.9 : Lung, NOS
diagnosis	anatomic_site	C37.9 : Thymus
diagnosis	anatomic_site	C38 : HEART, MEDIASTINUM, AND PLEURA
diagnosis	anatomic_site	C38.0 : Heart
diagnosis	anatomic_site	C38.1 : Anterior mediastinum
diagnosis	anatomic_site	C38.2 : Posterior mediastinum
diagnosis	anatomic_site	C38.3 : Mediastinum, NOS
diagnosis	anatomic_site	C38.4 : Pleura, NOS
diagnosis	anatomic_site	C38.8 : Overlapping lesion of heart, mediastinum and pleura
diagnosis	anatomic_site	C39.0 : Upper respiratory tract, NOS
diagnosis	anatomic_site	C39.8 : Overlapping lesion of respiratory system and intrathoracic organs
diagnosis	anatomic_site	C39.9 : Ill-defined sites within respiratory system
diagnosis	anatomic_site	C40.0 : Bone of shoulder
diagnosis	anatomic_site	C40.0 : Long bones of upper limb, scapula and associated joints
diagnosis	anatomic_site	C40.1 : Short bones of upper limb and associated joints
diagnosis	anatomic_site	C40.2 : Long bones of lower limb and associated joints
diagnosis	anatomic_site	C40.2 : Tibia
diagnosis	anatomic_site	C40.3 : Short bones of lower limb and associated joints
diagnosis	anatomic_site	C40.8 : Overlapping lesion of bones, joints and articular cartilage of limbs
diagnosis	anatomic_site	C40.9 : Bone of limb, NOS
diagnosis	anatomic_site	C41 : BONES, JOINTS AND ARTICULAR CARTILAGE OF OTHER AND UNSPECIFIED SITES
diagnosis	anatomic_site	C41.0 : Bones of skull and face and associated joints
diagnosis	anatomic_site	C41.1 : Mandible
diagnosis	anatomic_site	C41.2 : Spine
diagnosis	anatomic_site	C41.2 : Vertebral column
diagnosis	anatomic_site	C41.3 : Rib, sternum, clavicle and associated joints
diagnosis	anatomic_site	C41.4 : Pelvic bones, sacrum, coccyx and associated joints
diagnosis	anatomic_site	C41.8 : Overlapping lesion of bones, joints and articular cartilage
diagnosis	anatomic_site	C41.9 : Bone, NOS
diagnosis	anatomic_site	C42 : HEMATOPOIETIC AND RETICULOENDOTHELIAL SYSTEMS
diagnosis	anatomic_site	C42.0 : Blood
diagnosis	anatomic_site	C42.1 : Bone marrow
diagnosis	anatomic_site	C42.2 : Spleen
diagnosis	anatomic_site	C42.3 : Reticuloendothelial system, NOS
diagnosis	anatomic_site	C42.4 : Hematopoietic system, NOS
diagnosis	anatomic_site	C44.0 : Skin of lip, NOS
diagnosis	anatomic_site	C44.1 : Eyelid
diagnosis	anatomic_site	C44.2 : External ear
diagnosis	anatomic_site	C44.3 : Skin of other and unspecified parts of face
diagnosis	anatomic_site	C44.4 : Skin of scalp and neck
diagnosis	anatomic_site	C44.5 : Skin of trunk
diagnosis	anatomic_site	C44.6 : Skin of upper limb and shoulder
diagnosis	anatomic_site	C44.7 : Skin of lower limb and hip
diagnosis	anatomic_site	C44.8 : Overlapping lesion of skin
diagnosis	anatomic_site	C44.9 : Skin, NOS
diagnosis	anatomic_site	C47.0 : Peripheral nerves and autonomic nervous system of head, face, and neck
diagnosis	anatomic_site	C47.1 : Peripheral nerves and autonomic nervous system of upper limb and shoulder
diagnosis	anatomic_site	C47.2 : Peripheral nerves and autonomic nervous system of lower limb and hip
diagnosis	anatomic_site	C47.3 : Peripheral nerves and autonomic nervous system of thorax
diagnosis	anatomic_site	C47.4 : Peripheral nerves and autonomic nervous system of abdomen
diagnosis	anatomic_site	C47.5 : Peripheral nerves and autonomic nervous system of pelvis
